word,count
khaki,92
overwhelming,92
takes,92
murky,91
tobacco,91
initially,91
toasty,91
original,90
aal,90
20,90
draft,90
delicate,89
batch,89
drying,89
stronger,89
prominent,89
lasts,89
pear,89
leather,88
surface,88
pure,88
fruitiness,88
dipa,88
ruby,88
dissipated,88
line,88
nutty,88
hell,87
mellow,87
unpleasant,87
zero,87
friend,87
oil,86
category,86
based,86
spotty,86
beverage,86
kinda,86
shows,86
held,86
cool,85
film,85
lower,85
astringent,84
45,84
esters,84
aggressive,84
blue,84
usual,84
stale,84
translucent,84
bomb,83
german,83
budweiser,83
forms,83
added,83
tree,82
means,82
edges,82
effervescence,82
30,82
beige,82
candied,82
velvety,82
simply,82
toast,81
rising,81
sitting,81
money,81
woody,81
produced,81
mug,81
strength,81
cut,80
acidity,80
sips,80
pleasantly,80
wanted,80
rest,80
giving,80
sipper,80
smoke,80
score,79
opened,79
watered,79
harsh,79
hype,79
fl,79
imagine,79
earthiness,78
viscous,78
drinker,78
unfortunately,78
espresso,78
session,78
robust,77
kick,77
40,77
adds,76
product,76
sticks,76
bittersweet,76
lack,76
hope,76
general,75
punch,75
rye,75
room,75
degrees,75
particularly,75
apples,75
boring,75
finishing,74
14,74
honest,74
theyre,74
slow,74
artificial,74
remains,74
spot,74
content,73
lacking,73
impression,73
considering,73
aging,73
bring,73
residual,73
inoffensive,73
pronounced,73
highlights,73
possible,73
felt,72
college,72
massive,72
100,72
gave,72
fig,72
musty,72
pop,72
2018,72
traditional,72
works,71
release,71
acidic,71
oaky,71
loads,71
show,71
effervescent,71
wild,70
buying,70
plum,70
youd,70
appears,70
describe,70
figs,69
whiskey,69
rough,69
7,69
lite,69
shelf,69
temperature,69
form,68
horrible,68
srm,68
hate,68
semisweet,68
smelling,68
stand,67
charred,67
sourness,67
disappears,67
prickly,67
early,67
combination,67
generic,66
faded,66
cardboard,66
avoid,66
reduces,66
distinct,66
offputting,66
expectations,66
courtesy,66
fudge,65
party,65
pils,65
thirst,65
seek,65
barrels,65
winter,65
impressed,65
purchase,65
lived,65
wait,65
reminiscent,65
rounded,64
24oz,64
doubt,64
liquors,64
goodness,64
mediumlight,64
possibly,64
normal,64
basic,64
appreciate,63
smelled,63
fun,63
surprising,63
late,63
sediment,63
dough,63
speak,63
tangy,63
list,62
totally,62
topped,62
papaya,62
wonderfully,62
cellar,62
nonic,62
apparent,62
biscuity,62
nasty,62
hold,62
coating,62
round,62
sweetish,61
appealing,61
piss,61
cola,61
mexican,61
spiciness,61
vinegar,61
strange,60
addition,60
loved,60
read,60
weeks,60
excited,60
cider,60
mass,60
pith,60
treat,59
popular,59
euro,59
chance,59
elements,59
taking,59
covering,59
holds,59
pub,59
pink,59
unlike,58
run,58
shot,58
surprise,58
subdued,58
change,58
detect,58
terms,58
calories,58
recently,58
2016,58
sides,58
booziness,58
mediumbodied,58
brewers,58
final,57
recommended,57
understand,57
qualities,57
week,57
minute,57
tad,57
area,57
stands,57
brought,57
cake,57
resulting,57
tight,57
mahogany,57
inviting,57
dirty,57
whiff,57
buds,57
eventually,57
aspect,57
limited,57
english,57
longer,56
pairs,56
corona,56
fullbodied,56
modest,56
stick,56
thickness,56
boy,56
share,56
budget,56
persistent,56
stays,56
expensive,56
started,55
absolute,55
guy,55
neipa,55
crackery,55
sampled,55
skin,55
offerings,55
ingredients,55
live,55
packs,55
pass,55
saison,55
vague,55
ample,55
dull,55
revisit,54
game,54
trip,54
heard,54
looked,54
sipping,54
smoky,54
belgium,54
berry,54
transparent,54
lightbodied,53
coriander,53
adding,53
cloves,53
bean,53
beach,53
shit,53
youve,53
fall,53
earth,53
dominate,53
disappointed,53
aromatic,53
grapes,53
shared,52
lightmedium,52
premium,52
alright,52
mineral,52
total,52
chilled,52
pair,52
russian,52
plastic,52
barleywine,52
missing,52
legs,52
decently,52
doughy,51
sudsy,51
enjoying,51
raspberries,51
appropriate,51
characteristics,51
center,51
disappointing,51
company,51
bubble,51
750ml,51
recent,51
throat,51
literally,51
actual,51
dessert,51
free,50
coats,50
ratings,50
stamped,50
decided,50
hopped,50
exceptional,50
crafted,50
hoppiness,50
layers,50
ginger,50
2017,50
indeed,50
375,50
opens,50
follow,49
warmed,49
youll,49
lacks,49
turns,49
crazy,49
drain,49
begins,49
muted,49
generous,49
pungent,49
idea,49
island,49
variety,49
thicker,49
intensity,49
king,49
hand,49
pillowy,49
underlying,49
barnyard,48
crap,48
received,48
semidry,48
tones,48
word,48
turn,48
active,48
firm,48
caramelized,48
bottling,48
gorgeous,48
lost,48
supposed,48
vegetal,48
cooler,48
weight,48
metal,48
cooked,47
bone,47
motor,47
powerful,47
rim,47
favorites,47
suppose,47
ends,47
options,47
hey,47
consistent,47
graininess,47
generally,47
hill,47
gas,47
55,47
fizz,47
opening,47
disgusting,47
9,47
natural,46
busch,46
cost,46
deal,46
closer,46
definite,46
pithy,46
offers,46
dates,46
50,46
dominates,46
dominated,46
18,46
value,46
gon,46
called,46
fat,46
vibe,45
finished,45
effect,45
gravity,45
leading,45
pabst,45
hands,45
dominant,45
falls,45
filling,45
canadian,45
zesty,45
description,45
continues,45
lemony,45
brand,45
guava,45
state,44
founders,44
semi,44
ass,44
stop,44
weather,44
chemical,44
nan,44
restrained,44
425,44
option,44
heavier,44
check,44
neutral,44
reserve,44
working,44
helps,44
swill,44
midpalate,43
astringency,43
oranges,43
reviewing,43
pay,43
station,43
compare,43
heineken,43
beautifully,43
tend,43
hoping,43
tea,43
highest,43
bunch,43
inside,43
2015,43
superb,43
sugars,43
355,43
gently,43
breweries,43
parts,43
wanting,43
lambic,43
beneath,43
dissipating,42
future,42
canada,42
mediumfull,42
rings,42
wonder,42
listed,42
river,42
grab,42
st,42
delivers,42
stay,42
states,42
seconds,42
code,42
satisfying,42
serving,42
country,42
bouquet,42
13,42
wife,42
scents,42
leans,42
undertones,42
vinous,42
goto,41
oa,41
marshmallow,41
play,41
molson,41
choose,41
11,41
reputation,41
holding,41
including,41
consider,41
laces,41
500ml,41
order,41
matter,41
underneath,41
thinner,41
strawberry,41
draught,41
difference,41
freshness,41
difficult,41
bittering,41
bucks,41
peaches,41
cheaper,41
natty,41
minor,41
lives,41
pleasure,41
clings,41
miss,40
lead,40
slightest,40
drop,40
tang,40
write,40
winner,40
co,40
michelob,40
leads,40
berries,40
detectable,40
330ml,40
bakers,40
set,40
floating,40
dose,40
whatsoever,40
dogfish,40
vibrant,40
chill,40
shine,40
scores,40
fermented,40
reminded,40
month,40
european,40
mediumhigh,40
cup,40
rotation,40
nonetheless,39
meant,39
substantial,39
raw,39
range,39
drinkers,39
superior,39
salt,39
nuttiness,39
375ml,39
sessionable,39
deserves,39
35,39
loose,39
medicinal,39
froth,39
streaming,39
22,39
plain,39
fuller,39
atop,39
malted,39
crust,39
ultra,39
fully,39
decadent,38
essentially,38
notch,38
words,38
nutmeg,38
blended,38
heavily,38
whats,38
entirely,38
mid,38
sierra,38
dankness,38
bigger,38
oats,38
fading,38
advertised,38
butter,38
dinner,38
powder,38
teku,38
size,38
recipe,38
evening,38
knew,38
showing,38
hazelnut,38
paired,38
sits,38
tinge,38
guys,38
tripel,38
consistency,38
step,37
worthy,37
ris,37
shop,37
complete,37
instantly,37
refined,37
tomato,37
styles,37
fire,37
urine,37
stomach,37
onefinger,37
lagunitas,37
macros,37
previous,37
suggest,37
pbr,37
common,37
entire,37
figured,37
box,37
builds,37
trace,37
noted,37
moment,37
comparison,37
ethanol,37
god,37
heady,37
guinness,37
drops,36
bubblegum,36
hearty,36
mediocre,36
rapidly,36
sample,36
memories,36
priced,36
buttery,36
afternoon,36
champagne,36
crack,36
vegetable,36
memory,36
notice,36
number,36
